Name,Total Matches,Innings,Average Score,Strike Rate,Highest Score,Fours,Sixes,Fifties,Hundreds,Total Runs
Sachin TENDULKAR,463,452,44.83,86.23,200,2016,195,96,49,18426
Virat Kohli,297,285,57.93,93.52,183,1310,152,73,50,13963
Sourav Ganguly,311,300,41.02,73.70,183,1122,190,72,22,11363
Rohit Sharma,268,260,49.05,92.69,264,1024,338,57,32,10988
Rahul Dravid,344,318,39.16,71.23,153,950,42,83,12,10889
MS Dhoni,350,297,50.57,87.56,183,826,229,73,10,10773
Mohammad Azharuddin,334,308,36.92,74.02,153,622,77,58,7,9378
Yuvraj Singh,304,278,36.55,87.67,150,908,155,52,14,8701
Virender Sehwag,251,245,35.05,104.33,219,1132,136,38,15,8273
Shikhar Dhawan,167,164,44.11,91.35,143,842,79,39,17,6793
Suresh Raina,226,194,35.31,93.50,116,476,120,36,5,5615
Ajay Jadeja,196,179,37.47,69.79,119,366,85,30,6,5359
Gautam Gambhir,147,143,39.68,85.25,150,561,17,34,11,5238
Navjot Sidhu,136,127,37.08,69.72,134,335,44,33,6,4413
Kris Srikkanth,146,145,29.01,71.74,123,-,-,27,4,4091
Kapil Dev,225,198,23.79,95.07,175,291,67,14,1,3783
Dilip Vengsarkar,129,120,34.73,67.74,105,228,24,23,1,3508
Ravi Shastri,150,128,29.04,61.07,109,206,25,18,4,3108
Sunil Gavaskar,108,102,35.13,62.26,103,234,21,27,1,3092
Ajinkya Rahane,90,87,35.26,78.63,111,293,33,24,3,2962
KL Rahul,80,75,47.59,87.75,112,230,62,18,7,2903
Ravindra Jadeja,199,134,32.69,85.32,87,203,54,13,-,2779
Mohammad Kaif,125,110,32.01,72.03,111,228,9,17,2,2753
Shreyas Iyer,65,60,48.18,102.48,128,246,67,20,5,2602
Shubman Gill,50,50,60.16,101.93,208,296,56,15,7,2587
Vinod Kambli,104,97,32.59,71.94,106,187,20,14,2,2477
VVS Laxman,86,83,30.76,71.23,131,222,4,10,6,2338
Sanjay Manjrekar,74,70,33.23,64.30,105,99,10,15,1,1994
Mohinder Amarnath,85,75,30.53,57.70,102,123,9,13,2,1924
Manoj Prabhakar,130,98,24.12,60.26,106,-,-,11,2,1858
Hardik Pandya,89,64,33.42,111.14,92,134,70,11,-,1805
Dinesh Karthik,94,79,30.20,73.24,79,176,15,9,-,1752
Ambati Rayudu,55,50,47.05,79.04,124,145,30,10,3,1694
Irfan Pathan,120,87,23.39,79.54,83,142,37,5,-,1544
Kedar Jadhav,73,52,42.09,101.60,120,141,24,6,2,1389
Nayan Mongia,140,96,20.19,68.94,69,95,8,2,-,1272
Ajit Agarkar,191,113,14.58,80.62,95,103,22,3,-,1269
Harbhajan Singh,236,128,13.30,81.06,49,92,35,-,-,1237
Dinesh Mongia,57,51,27.95,71.47,159,122,8,4,1,1230
Sandeep Patil,45,42,24.51,82.17,84,-,-,9,-,1005
Anil Kumble,271,136,10.54,61.07,26,57,6,-,-,938
Robin Uthappa,46,42,25.94,90.59,86,107,19,6,-,934
Ishan Kishan,27,24,42.40,102.19,210,95,33,7,1,933
Javagal Srinath,229,121,10.63,79.62,53,62,17,1,-,883
Yashpal Sharma,42,40,28.48,63.02,89,-,-,4,-,883
Rishabh Pant,31,27,33.50,106.21,125,91,26,5,1,871
Hemang Badani,40,36,33.34,73.47,100,68,10,4,1,867
Yusuf Pathan,57,41,27.00,113.60,123,62,43,3,2,810
Zaheer Khan,200,101,12.00,73.46,34,69,24,-,-,792
Raman Lamba,32,31,27.00,67.15,102,63,9,6,1,783
Suryakumar Yadav,37,35,25.76,105.02,72,80,19,4,-,773
Parthiv Patel,38,34,23.74,76.50,95,79,7,4,-,736
Ravichandran Ashwin,116,63,16.44,86.96,65,60,7,1,-,707
Axar Patel,63,42,21.74,95.06,64,39,28,3,-,674
Sadagoppan Ramesh,24,24,28.08,59.15,82,70,1,6,-,646
Roger Binny,72,49,16.12,60.13,57,51,1,1,-,629
Woorkeri Raman,27,27,23.73,55.63,114,47,5,3,1,617
Harvinder Singh,16,16,25.37,28.50,-,-,-,-,-,609
Sunil Joshi,69,45,17.17,89.43,61,47,17,1,-,584
Manish Pandey,29,24,33.29,90.56,104,45,5,2,1,566
Kiran More,94,65,13.09,69.67,42,-,-,-,-,563
Bhuvneshwar Kumar,121,55,14.15,73.89,53,46,8,1,-,552
Pravin Amre,37,30,20.52,64.20,84,28,2,2,-,513
Sanju Samson,16,14,56.66,99.60,108,34,22,3,1,510
Ashok Malhotra,20,19,30.46,70.85,65,29,1,1,-,457
Chetan Sharma,65,35,24.00,90.47,101,31,4,-,1,456
Gundappa Viswanath,25,23,19.95,52.89,75,33,-,2,-,439
Ajay Sharma,31,27,20.19,90.40,59,26,9,3,-,424
Madan Lal,67,35,19.09,62.17,53,-,-,1,-,401
Syed Kirmani,49,31,20.72,60.55,48,24,-,-,-,373
Saba Karim,34,27,15.73,64.64,55,27,2,1,-,362
Hrishikesh Kanitkar,34,27,17.84,66.21,57,25,1,1,-,339
Murali Vijay,17,16,21.18,66.99,72,33,3,1,-,339
Shardul Thakur,47,25,17.31,105.11,50,31,9,1,-,329
Washington Sundar,23,15,23.50,83.50,51,24,10,1,-,329
Nikhil Chopra,39,26,15.50,62.24,61,15,5,1,-,310
Praveen Kumar,68,33,13.90,88.21,54,25,7,1,-,292
Chandrakant Pandit,36,23,20.71,72.50,33,16,-,-,-,290
Manoj Tiwary,12,12,26.09,71.21,104,24,3,1,1,287
Reetinder Sodhi,18,14,25.45,73.49,67,16,6,2,-,280
Kirti Azad,25,21,14.15,67.25,39,19,9,-,-,269
Anshuman Gaekwad,15,14,20.69,52.84,78,15,-,1,-,269
Sameer Sudhakar Dighe,23,17,23.27,60.80,94,11,2,1,-,256
Brijesh Pursuram Patel,10,9,30.37,60.90,82,-,-,1,-,243
Stuart Binny,14,11,28.75,93.49,77,23,5,1,-,230
Vijay Shankar,12,8,31.85,90.65,46,20,4,-,-,223
Venkatesh Prasad,161,63,6.90,60.21,19,7,5,-,-,221
Mohammed Shami,103,48,7.85,83.01,25,17,9,-,-,220
Venugopal Rao,16,11,24.22,60.05,61,16,3,1,-,218
Vijay Dahiya,19,15,16.61,80.89,51,18,3,1,-,216
Kuldeep Yadav,108,41,9.80,50.73,19,14,-,-,-,206
Deepak Chahar,13,9,33.83,98.06,69,17,8,2,-,203
Vikram Rathour,7,7,27.57,58.30,54,16,1,2,-,193
Prithvi Shaw,6,6,31.50,113.85,49,32,2,-,-,189
Sanjay Bangar,15,15,13.84,75.31,57,14,3,1,-,180
Surinder Khanna,10,10,22.00,66.41,56,16,2,2,-,176
Ghulam Parkar,10,10,18.33,49.69,42,11,-,-,-,165
Ramesh Powar,31,19,11.64,62.69,54,12,2,1,-,163
Atul Chandrakant Bedade,13,10,22.57,86.33,51,11,5,1,-,158
Jacob Martin,10,8,22.57,47.73,39,15,-,-,-,158
Deepak Hooda,10,7,25.50,80.95,33,10,1,-,-,153
Chetan Chauhan,7,7,21.85,50.83,46,6,-,-,-,153
Rohan Gavaskar,11,10,18.87,64.52,54,8,2,1,-,151
Amay Ramsevak Khurasiya,12,11,13.54,79.25,57,14,2,1,-,149
Ashish Nehra,120,46,5.64,57.31,24,12,3,-,-,141
Vijay Bharadwaj,10,9,27.20,70.10,41,15,1,-,-,136
Rajesh Chauhan,35,18,10.15,77.19,32,5,4,-,-,132
Mannava Prasad,17,11,14.55,58.22,63,11,-,1,-,131
Krunal Pandya,5,4,65.00,101.56,58,11,2,1,-,130
Murali Kartik,37,14,14.00,70.78,32,10,1,-,-,126
Arun Lal,13,13,9.38,52.58,51,10,1,1,-,122
Lakshmipathy Balaji,30,16,12.00,78.94,21,8,3,-,-,120
Vijay Yadav,19,12,11.80,101.72,34,7,2,-,-,118
