Name,Total Matches,Innings,Average Score,Strike Rate,Highest Score,Fours,Sixes,Fifties,Hundreds,Total Runs
Sachin TENDULKAR,463,452,44.83,86.23,200.0,2016.0,195.0,96.0,49.0,18426
Virat Kohli,297,285,57.93,93.52,183.0,1310.0,152.0,73.0,50.0,13963
Sourav Ganguly,311,300,41.02,73.7,183.0,1122.0,190.0,72.0,22.0,11363
Rohit Sharma,268,260,49.05,92.69,264.0,1024.0,338.0,57.0,32.0,10988
Rahul Dravid,344,318,39.16,71.23,153.0,950.0,42.0,83.0,12.0,10889
MS Dhoni,350,297,50.57,87.56,183.0,826.0,229.0,73.0,10.0,10773
Mohammad Azharuddin,334,308,36.92,74.02,153.0,622.0,77.0,58.0,7.0,9378
Yuvraj Singh,304,278,36.55,87.67,150.0,908.0,155.0,52.0,14.0,8701
Virender Sehwag,251,245,35.05,104.33,219.0,1132.0,136.0,38.0,15.0,8273
Shikhar Dhawan,167,164,44.11,91.35,143.0,842.0,79.0,39.0,17.0,6793
Suresh Raina,226,194,35.31,93.5,116.0,476.0,120.0,36.0,5.0,5615
Ajay Jadeja,196,179,37.47,69.79,119.0,366.0,85.0,30.0,6.0,5359
Gautam Gambhir,147,143,39.68,85.25,150.0,561.0,17.0,34.0,11.0,5238
Navjot Sidhu,136,127,37.08,69.72,134.0,335.0,44.0,33.0,6.0,4413
Kris Srikkanth,146,145,29.01,71.74,123.0,0.0,0.0,27.0,4.0,4091
Kapil Dev,225,198,23.79,95.07,175.0,291.0,67.0,14.0,1.0,3783
Dilip Vengsarkar,129,120,34.73,67.74,105.0,228.0,24.0,23.0,1.0,3508
Ravi Shastri,150,128,29.04,61.07,109.0,206.0,25.0,18.0,4.0,3108
Sunil Gavaskar,108,102,35.13,62.26,103.0,234.0,21.0,27.0,1.0,3092
Ajinkya Rahane,90,87,35.26,78.63,111.0,293.0,33.0,24.0,3.0,2962
KL Rahul,80,75,47.59,87.75,112.0,230.0,62.0,18.0,7.0,2903
Ravindra Jadeja,199,134,32.69,85.32,87.0,203.0,54.0,13.0,0.0,2779
Mohammad Kaif,125,110,32.01,72.03,111.0,228.0,9.0,17.0,2.0,2753
Shreyas Iyer,65,60,48.18,102.48,128.0,246.0,67.0,20.0,5.0,2602
Shubman Gill,50,50,60.16,101.93,208.0,296.0,56.0,15.0,7.0,2587
Vinod Kambli,104,97,32.59,71.94,106.0,187.0,20.0,14.0,2.0,2477
VVS Laxman,86,83,30.76,71.23,131.0,222.0,4.0,10.0,6.0,2338
Sanjay Manjrekar,74,70,33.23,64.3,105.0,99.0,10.0,15.0,1.0,1994
Mohinder Amarnath,85,75,30.53,57.7,102.0,123.0,9.0,13.0,2.0,1924
Manoj Prabhakar,130,98,24.12,60.26,106.0,0.0,0.0,11.0,2.0,1858
Hardik Pandya,89,64,33.42,111.14,92.0,134.0,70.0,11.0,0.0,1805
Dinesh Karthik,94,79,30.2,73.24,79.0,176.0,15.0,9.0,0.0,1752
Ambati Rayudu,55,50,47.05,79.04,124.0,145.0,30.0,10.0,3.0,1694
Irfan Pathan,120,87,23.39,79.54,83.0,142.0,37.0,5.0,0.0,1544
Kedar Jadhav,73,52,42.09,101.6,120.0,141.0,24.0,6.0,2.0,1389
Nayan Mongia,140,96,20.19,68.94,69.0,95.0,8.0,2.0,0.0,1272
Ajit Agarkar,191,113,14.58,80.62,95.0,103.0,22.0,3.0,0.0,1269
Harbhajan Singh,236,128,13.3,81.06,49.0,92.0,35.0,0.0,0.0,1237
Dinesh Mongia,57,51,27.95,71.47,159.0,122.0,8.0,4.0,1.0,1230
Sandeep Patil,45,42,24.51,82.17,84.0,0.0,0.0,9.0,0.0,1005
Anil Kumble,271,136,10.54,61.07,26.0,57.0,6.0,0.0,0.0,938
Robin Uthappa,46,42,25.94,90.59,86.0,107.0,19.0,6.0,0.0,934
Ishan Kishan,27,24,42.4,102.19,210.0,95.0,33.0,7.0,1.0,933
Javagal Srinath,229,121,10.63,79.62,53.0,62.0,17.0,1.0,0.0,883
Yashpal Sharma,42,40,28.48,63.02,89.0,0.0,0.0,4.0,0.0,883
Rishabh Pant,31,27,33.5,106.21,125.0,91.0,26.0,5.0,1.0,871
Hemang Badani,40,36,33.34,73.47,100.0,68.0,10.0,4.0,1.0,867
Yusuf Pathan,57,41,27.0,113.6,123.0,62.0,43.0,3.0,2.0,810
Zaheer Khan,200,101,12.0,73.46,34.0,69.0,24.0,0.0,0.0,792
Raman Lamba,32,31,27.0,67.15,102.0,63.0,9.0,6.0,1.0,783
Suryakumar Yadav,37,35,25.76,105.02,72.0,80.0,19.0,4.0,0.0,773
Parthiv Patel,38,34,23.74,76.5,95.0,79.0,7.0,4.0,0.0,736
Ravichandran Ashwin,116,63,16.44,86.96,65.0,60.0,7.0,1.0,0.0,707
Axar Patel,63,42,21.74,95.06,64.0,39.0,28.0,3.0,0.0,674
Sadagoppan Ramesh,24,24,28.08,59.15,82.0,70.0,1.0,6.0,0.0,646
Roger Binny,72,49,16.12,60.13,57.0,51.0,1.0,1.0,0.0,629
Woorkeri Raman,27,27,23.73,55.63,114.0,47.0,5.0,3.0,1.0,617
Harvinder Singh,16,16,25.37,28.5,0.0,0.0,0.0,0.0,0.0,609
Sunil Joshi,69,45,17.17,89.43,61.0,47.0,17.0,1.0,0.0,584
Manish Pandey,29,24,33.29,90.56,104.0,45.0,5.0,2.0,1.0,566
Kiran More,94,65,13.09,69.67,42.0,0.0,0.0,0.0,0.0,563
Bhuvneshwar Kumar,121,55,14.15,73.89,53.0,46.0,8.0,1.0,0.0,552
Pravin Amre,37,30,20.52,64.2,84.0,28.0,2.0,2.0,0.0,513
Sanju Samson,16,14,56.66,99.6,108.0,34.0,22.0,3.0,1.0,510
Ashok Malhotra,20,19,30.46,70.85,65.0,29.0,1.0,1.0,0.0,457
Chetan Sharma,65,35,24.0,90.47,101.0,31.0,4.0,0.0,1.0,456
Gundappa Viswanath,25,23,19.95,52.89,75.0,33.0,0.0,2.0,0.0,439
Ajay Sharma,31,27,20.19,90.4,59.0,26.0,9.0,3.0,0.0,424
Madan Lal,67,35,19.09,62.17,53.0,0.0,0.0,1.0,0.0,401
Syed Kirmani,49,31,20.72,60.55,48.0,24.0,0.0,0.0,0.0,373
Saba Karim,34,27,15.73,64.64,55.0,27.0,2.0,1.0,0.0,362
Hrishikesh Kanitkar,34,27,17.84,66.21,57.0,25.0,1.0,1.0,0.0,339
Murali Vijay,17,16,21.18,66.99,72.0,33.0,3.0,1.0,0.0,339
Shardul Thakur,47,25,17.31,105.11,50.0,31.0,9.0,1.0,0.0,329
Washington Sundar,23,15,23.5,83.5,51.0,24.0,10.0,1.0,0.0,329
Nikhil Chopra,39,26,15.5,62.24,61.0,15.0,5.0,1.0,0.0,310
Praveen Kumar,68,33,13.9,88.21,54.0,25.0,7.0,1.0,0.0,292
Chandrakant Pandit,36,23,20.71,72.5,33.0,16.0,0.0,0.0,0.0,290
Manoj Tiwary,12,12,26.09,71.21,104.0,24.0,3.0,1.0,1.0,287
Reetinder Sodhi,18,14,25.45,73.49,67.0,16.0,6.0,2.0,0.0,280
Kirti Azad,25,21,14.15,67.25,39.0,19.0,9.0,0.0,0.0,269
Anshuman Gaekwad,15,14,20.69,52.84,78.0,15.0,0.0,1.0,0.0,269
Sameer Sudhakar Dighe,23,17,23.27,60.8,94.0,11.0,2.0,1.0,0.0,256
Brijesh Pursuram Patel,10,9,30.37,60.9,82.0,0.0,0.0,1.0,0.0,243
Stuart Binny,14,11,28.75,93.49,77.0,23.0,5.0,1.0,0.0,230
Vijay Shankar,12,8,31.85,90.65,46.0,20.0,4.0,0.0,0.0,223
Venkatesh Prasad,161,63,6.9,60.21,19.0,7.0,5.0,0.0,0.0,221
Mohammed Shami,103,48,7.85,83.01,25.0,17.0,9.0,0.0,0.0,220
Venugopal Rao,16,11,24.22,60.05,61.0,16.0,3.0,1.0,0.0,218
Vijay Dahiya,19,15,16.61,80.89,51.0,18.0,3.0,1.0,0.0,216
Kuldeep Yadav,108,41,9.8,50.73,19.0,14.0,0.0,0.0,0.0,206
Deepak Chahar,13,9,33.83,98.06,69.0,17.0,8.0,2.0,0.0,203
Vikram Rathour,7,7,27.57,58.3,54.0,16.0,1.0,2.0,0.0,193
Prithvi Shaw,6,6,31.5,113.85,49.0,32.0,2.0,0.0,0.0,189
Sanjay Bangar,15,15,13.84,75.31,57.0,14.0,3.0,1.0,0.0,180
Surinder Khanna,10,10,22.0,66.41,56.0,16.0,2.0,2.0,0.0,176
Ghulam Parkar,10,10,18.33,49.69,42.0,11.0,0.0,0.0,0.0,165
Ramesh Powar,31,19,11.64,62.69,54.0,12.0,2.0,1.0,0.0,163
Atul Chandrakant Bedade,13,10,22.57,86.33,51.0,11.0,5.0,1.0,0.0,158
Jacob Martin,10,8,22.57,47.73,39.0,15.0,0.0,0.0,0.0,158
Deepak Hooda,10,7,25.5,80.95,33.0,10.0,1.0,0.0,0.0,153
Chetan Chauhan,7,7,21.85,50.83,46.0,6.0,0.0,0.0,0.0,153
Rohan Gavaskar,11,10,18.87,64.52,54.0,8.0,2.0,1.0,0.0,151
Amay Ramsevak Khurasiya,12,11,13.54,79.25,57.0,14.0,2.0,1.0,0.0,149
